Brent,Violence Against the Person,6419,7643,8704,8532,7005,8152,8843,5190,4900
Hackney,Possession of Weapons,169,257,330,320,234,359,335,140,177
Lewisham,Violence Against the Person,5805,7188,8458,7515,6918,7445,8352,4956,4915
Merton,Possession of Weapons,59,92,108,111,76,124,116,78,68
Croydon,Possession of Weapons,217,268,350,382,218,408,369,215,180
Bexley,Possession of Weapons,51,85,128,103,65,119,124,59,55
Merton,Public Order Offences,538,732,906,891,703,822,1007,394,407
Bexley,Violence Against the Person,2860,3774,5267,4265,3303,4092,5296,2377,2343
Southwark,Violence Against the Person,6425,7685,8838,8574,7241,7667,8256,5478,5235
Richmond upon Thames,Public Order Offences,469,727,832,704,658,766,851,439,396
Havering,Public Order Offences,740,1001,1093,1078,927,1046,1159,570,616
Camden,Public Order Offences,1315,1735,2017,1786,1552,1919,1947,1180,971
Kingston upon Thames,Possession of Weapons,44,55,92,88,55,82,79,33,35
Tower Hamlets,Possession of Weapons,149,247,301,357,191,312,269,147,139
Wandsworth,Possession of Weapons,95,133,176,207,139,186,185,79,111
Barnet,Violence Against the Person,4776,6049,7235,6521,5653,6251,7414,3377,3623
Camden,Possession of Weapons,100,199,234,223,122,237,180,122,131
Tower Hamlets,Public Order Offences,1469,2166,2139,2153,1783,2215,2193,1029,1258
Westminster,Possession of Weapons,281,359,469,461,264,473,296,173,230
Greenwich,Possession of Weapons,123,127,250,208,132,239,254,106,105
Newham,Public Order Offences,1190,1574,1871,1691,1481,1643,1936,922,797
Hammersmith and Fulham,Public Order Offences,1241,1561,1559,1408,1391,1458,1494,1062,1033
Waltham Forest,Violence Against the Person,5123,6176,6114,6352,5737,5957,6587,4287,4439
Croydon,Fraud and Forgery,0,0,0,0,0,0,0,1116,93
Enfield,Violence Against the Person,5028,6215,7855,6950,5702,6415,8443,3771,3862
Bromley,Public Order Offences,1128,1403,1604,1484,1431,1395,1643,675,796
Lewisham,Fraud and Forgery,1,0,0,0,0,0,0,892,73
Harrow,Violence Against the Person,2959,3737,4519,4241,3575,3959,4476,2584,2636
Camden,Fraud and Forgery,0,0,0,0,0,0,0,1342,127
Enfield,Fraud and Forgery,0,0,0,0,0,0,0,923,96
Ealing,Violence Against the Person,6162,7768,8356,8051,7336,7835,8650,5861,5252
Redbridge,Robbery,715,598,991,1039,657,886,675,1042,887
Barking and Dagenham,Robbery,496,535,1040,818,553,862,712,745,528
Newham,Robbery,1629,1472,1884,1778,1398,2017,1605,2311,2127
Camden,Robbery,882,902,1881,1733,1030,1997,1175,1104,875
Hillingdon,Robbery,499,421,792,563,320,515,524,845,545
Havering,Robbery,288,311,676,670,323,614,405,431,292
Hammersmith and Fulham,Robbery,368,398,848,762,357,553,541,697,558
Greenwich,Robbery,399,486,854,642,464,634,747,587,476
Westminster,Robbery,1936,1824,4380,3128,1501,2346,2121,2321,2206
Hackney,Robbery,962,1029,2028,1577,1044,1469,1598,1255,1028
Haringey,Robbery,977,1248,2553,1811,1235,1781,1532,1127,905
Hounslow,Robbery,399,393,744,661,379,467,594,769,480
Lambeth,Robbery,1384,1196,1337,1331,1159,1468,1121,2692,2431
Harrow,Robbery,307,378,626,363,311,310,507,661,503
Brent,Robbery,879,920,1375,1414,883,1199,971,1638,1150
Richmond upon Thames,Robbery,131,106,414,350,149,238,229,227,194
